week_id,seed,reward_expert_v4,reward_ppo_v7,diff_ppo_minus_expert
49,50048,14387.89999999801,15706.059999997344,1318.159999999334
50,50049,13392.559999998204,15721.359999997341,2328.799999999137
51,50050,13109.119999998606,15571.359999997516,2462.23999999891
52,50051,13575.719999998439,16099.539999997456,2523.8199999990175
53,50052,12495.939999998682,16308.059999997276,3812.1199999985947
54,50053,12836.979999998513,15418.07999999738,2581.099999998867
55,50054,15058.379999997824,16142.939999997387,1084.559999999563
56,50055,13307.039999998564,15865.679999997375,2558.6399999988116
57,50056,12790.81999999848,16026.999999997222,3236.1799999987416
58,50057,12832.939999998609,15372.25999999756,2539.31999999895
59,50058,13032.119999998591,16872.319999997257,3840.1999999986656
60,50059,13783.539999998484,15500.759999997343,1717.2199999988588
61,50060,13115.359999998394,15931.29999999743,2815.9399999990364
62,50061,14294.579999998046,15450.659999997497,1156.0799999994506
63,50062,13046.039999998384,16037.719999997367,2991.6799999989835
64,50063,13819.539999998575,15352.839999997417,1533.2999999988424
65,50064,12786.939999998578,16054.679999997346,3267.7399999987683
66,50065,11846.859999998742,15258.999999997504,3412.1399999987625
67,50066,13117.079999998503,15468.059999997415,2350.979999998912
68,50067,13178.839999998685,16022.799999997327,2843.959999998642
69,50068,13064.979999998552,16538.899999997193,3473.9199999986413
70,50069,12955.759999998692,15754.1799999974,2798.4199999987068
71,50070,14433.839999997852,16103.219999997358,1669.3799999995063
72,50071,13099.879999998611,14811.85999999745,1711.979999998839
73,50072,13116.779999998598,15418.319999997419,2301.5399999988203
74,50073,13246.879999998426,16130.499999997375,2883.6199999989494
75,50074,12967.659999998243,15769.15999999724,2801.4999999989977
76,50075,12106.319999998741,16159.419999997272,4053.0999999985306
77,50076,14183.959999998224,16038.479999997358,1854.5199999991346
78,50077,12450.799999998548,15635.439999997365,3184.639999998817
79,50078,14177.439999998167,15838.33999999732,1660.8999999991538
80,50079,13922.079999997935,15362.479999997398,1440.399999999463
81,50080,13849.659999998463,15442.839999997492,1593.179999999029
82,50081,13130.159999998546,15280.859999997461,2150.699999998915
83,50082,13514.519999998585,15156.919999997537,1642.399999998952
84,50083,13796.319999998439,16056.079999997313,2259.7599999988743
85,50084,12958.519999998514,15484.019999997476,2525.4999999989614
86,50085,13343.759999998301,15965.299999997325,2621.539999999024
87,50086,13422.819999998443,15353.09999999737,1930.2799999989275
88,50087,12970.99999999881,15064.25999999749,2093.2599999986796
89,50088,13556.819999998412,15345.839999997477,1789.0199999990655
90,50089,13609.599999998205,15766.499999997422,2156.8999999992175
91,50090,13357.93999999841,15548.879999997418,2190.9399999990073
92,50091,13232.579999998596,16262.259999997328,3029.6799999987325
93,50092,13104.779999998487,15492.139999997518,2387.359999999031
94,50093,13475.599999997934,15142.51999999757,1666.9199999996363
95,50094,13970.099999998467,15665.599999997363,1695.4999999988959
96,50095,13002.81999999868,15558.799999997287,2555.979999998608
97,50096,13737.259999998054,15945.439999997443,2208.179999999389
98,50097,12881.859999998569,16194.359999997316,3312.4999999987467
99,50098,13417.479999998362,15980.179999997343,2562.6999999989803
100,50099,12917.519999998585,15075.439999997512,2157.919999998927
101,50100,13118.15999999851,16269.899999997318,3151.7399999988083
102,50101,13852.279999998666,15825.779999997449,1973.499999998783
103,50102,13768.299999998411,16303.759999997295,2535.459999998884
104,50103,12916.359999998647,16152.73999999745,3236.3799999988023
